Title,Year,Score,Description,Director,Screenplay,Type,Revenue
The Old Guard 2,2025,62,Andy and her team of immortal warriors fight with renewed purpose as they face a powerful new foe threatening their mission to protect humanity.,Victoria Mahoney,Greg Rucka,"Action, Fantasy",
Ballerina,2025,74,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",Len Wiseman,,"Action, Thriller, Crime","108,372,988.00"
Karate Kid: Legends,2025,72,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",Jonathan Entwistle,,"Action, Adventure, Drama","104,518,853.00"
Ice Road: Vengeance,2025,70,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",Jonathan Hensleigh,,"Action, Thriller, Drama",
Heads of State,2025,70,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.",Ilya Naishuller,"Harrison Query, Josh Appelbaum, André Nemec","Action, Thriller, Comedy",
Thunderbolts*,2025,74,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",Jake Schreier,"Eric Pearson, Joanna Calo","Action, Science Fiction, Adventure","382,001,353.00"
Jurassic World Rebirth,2025,65,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",Gareth Edwards,,"Science Fiction, Adventure, Action","349,368,875.00"
Superman,2025,73,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",James Gunn,,"Science Fiction, Adventure, Action","21,000,000.00"
Final Destination Bloodlines,2025,72,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.","Zach Lipovsky, Adam B. Stein","Guy Busick, Lori Evans Taylor","Horror, Mystery","284,868,433.00"
Dora and the Search for Sol Dorado,2025,71,"Dora, Diego, and their new friends trek through the perilous dangers of the Amazonian jungle in search of the ancient and powerful treasure of Sol Dorado to keep it out of enemy hands.",Alberto Belli,JT Billings,"Adventure, Comedy, Family",
Lilo & Stitch,2025,71,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,Dean Fleischer Camp,"Mike Van Waes, Chris Kekaniokalani Bright","Family, Science Fiction, Comedy, Adventure","975,163,443.00"
Bring Her Back,2025,73,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.","Danny Philippou, Michael Philippou",,Horror,"22,691,436.00"
KPop Demon Hunters,2025,86,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.","Maggie Kang, Chris Appelhans","Maggie Kang, Chris Appelhans, Danya Jimenez, Hannah McMechan","Animation, Fantasy, Action, Comedy, Music",
Ziam,2025,69,"In a fight for survival against a horrifying army of zombies, a former Muay Thai fighter must use skill, speed and grit to save his girlfriend.",Kulp Kaljareuk,"Kulp Kaljareuk, Chonnatee Pimnan, Vathanyu Ingkawiwat, Weerasu Worrapot, Nut Nualpang","Horror, Thriller, Action",
Muromachi Burai,2025,91,"Set in war-torn 15th century Kyoto, on the eve of the Onin War, the movie centers on a band of outlaws led by Hyoe (Oizumi) a scoundrel whose lethal sword skills place him at the tip of the spear in a deadly uprising against the corrupt Shogunate and its army, led by former friend-turned-archrival, Doken (Tsutsumi).",Yu Irie,Yu Irie,"Action, Drama",
How to Train Your Dragon,2025,79,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",Dean DeBlois,,"Fantasy, Family, Action","530,825,784.00"
F1,2025,77,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,Joseph Kosinski,Ehren Kruger,"Action, Drama","305,374,952.00"
The Ritual,2025,60,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.",David Midell,,Horror,"1,528,998.00"
Sinners,2025,76,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Ryan Coogler,,"Horror, Action, Thriller","364,828,885.00"
xXx,2002,59,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",Rob Cohen,Rich Wilkes,"Action, Adventure, Thriller, Crime","277,448,382.00"
The Hangman,2024,49,"Troubled father Leon takes son camping in Appalachia. Local cult summons evil Hangman demon. Son goes missing. Leon must confront cult, monster to find him amid rising body count.",Bruce Wemple,,"Horror, Thriller",
Long Distance,2024,63,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.","Josh Gordon, Will Speck",Spenser Cohen,"Science Fiction, Comedy, Action",
A Minecraft Movie,2025,65,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",Jared Hess,"Hubbel Palmer, Chris Bowman, Neil Widener, Chris Galletta, Gavin James","Family, Comedy, Adventure, Fantasy","955,149,195.00"
Mission: Impossible - The Final Reckoning,2025,72,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",Christopher McQuarrie,,"Action, Adventure, Thriller","576,952,327.00"
28 Years Later,2025,72,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",Danny Boyle,,"Horror, Thriller, Science Fiction","126,502,114.00"
The Twisters,2024,59,"A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around.",Michael Su,,"Action, Adventure, Drama",
Crazy Lizard,2024,60,"A young man climbs into the mountains to pick up a meteorite that has fallen there and is killed by something. The ""thing"" descends to the village and begins to eat the inhabitants one by one, terrorizing the entire island.",Cecil Man Ching Cheng,,"Action, Thriller, Horror",
Diablo,2025,74,"Ex-con Kris Chaney seizes the daughter of a Colombian gangster to fulfill a noble promise to the young girl's mother. When her father enlists both the criminal underworld and a psychotic killer to exact his revenge, Kris relies on everything he's ever learned to stay alive and keep his word.",Ernesto Díaz Espinoza,,"Action, Thriller",
First Shift,2024,57,"NYPD veteran Mike and rookie Angela tackle a high-stakes day on New York's toughest streets, diving headfirst into a vortex of danger and action. Their adrenaline-fueled pursuits and unexpected threats unfold as they navigate perilous encounters. Amidst the chaos, intense challenges forge unbreakable bonds.",Uwe Boll,,"Crime, Thriller, Action",
The Amateur,2025,70,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",James Hawes,"Ken Nolan, Gary Spinelli","Thriller, Action","95,956,038.00"
Jokōsei torio: seikan shiken,1977,73,"Three high school girls. One is experienced, one has fantasies and one is curious. What more will they learn before graduation?",Nobuaki Shirai,Akira Nakano,"Romance, Drama",
M3GAN 2.0,2025,72,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",Gerard Johnstone,,"Action, Science Fiction, Thriller","32,897,341.00"
Seeds,2024,56,A Mohawk woman is hired as a social media influencer but is caught in a deadly cat-and-mouse game as she's forced to go to war to preserve her people's heritage from corporate interests.,Kaniehtiio Horn,,"Horror, Thriller, Mystery",
Squid Game: Making Season 2,2025,85,"From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life.",,,Documentary,
STRAW,2025,79,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,Tyler Perry,,"Thriller, Drama, Crime",
Laila,2025,58,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",Ram Narayan,,"Comedy, Romance",
The Unholy Trinity,2025,67,"Set against the turbulent backdrop of 1870s Montana, in the moments before the execution of Isaac Broadway, he gives his estranged son, Henry, an impossible task: murder the man who framed him for a crime he didn’t commit. Intent on fulfilling his promise, Henry travels to the remote town of Trinity, where an unexpected turn of events traps him in town and leaves him caught between Gabriel Dove, the town’s upstanding new sheriff, and a mysterious figure named St. Christopher.",Richard Gray,,"Western, Adventure, Crime","1,000,526.00"
Hell of a Summer,2025,55,"When 24-year-old Jason Hochberg arrives for counsellor weekend at his beloved Camp Pineway, his biggest problem is feeling out of touch with his teenage co-workers. Little does he know; a masked killer has murdered camp owners John and Kathy and is preparing to strike again.","Billy Bryk, Finn Wolfhard",,"Horror, Comedy, Mystery","3,182,680.00"
Candle in the Tomb: The Worm Valley,2023,68,"Adapted from the 3rd volume in the novel series ""Candle in the Tomb"" by Zhang Mu Ye. Hu Bayi, Wang Kaixuan, and Shiely Yang, infected with a curse, embark on a journey to King Xian's tomb to retrieve the Haochen Bead and break the curse. They face ancient organs, ghostly visions, explosive bugs, and a massive salamander.",Dai Yilin,"Zhe Yang, Lin Jianfeng","Action, Adventure, Horror",
Clown in a Cornfield,2025,63,"Quinn and her father have just moved to the quiet town of Kettle Springs hoping for a fresh start. Instead, she discovers a fractured community that has fallen on hard times after the treasured Baypen Corn Syrup Factory burned down. As the locals bicker amongst themselves and tensions boil over, a sinister, grinning figure emerges from the cornfields to cleanse the town of its burdens, one bloody victim at a time.",Eli Craig,"Eli Craig, Carter Blanchard","Horror, Mystery, Thriller","8,802,437.00"
Predator: Killer of Killers,2025,80,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",Dan Trachtenberg,Micho Rutare,"Animation, Action, Science Fiction, Thriller",
Jurassic World Dominion,2022,67,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",Colin Trevorrow,"Colin Trevorrow, Emily Carmichael","Adventure, Action, Science Fiction","1,004,004,592.00"
The Accountant²,2025,72,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",Gavin O'Connor,,"Mystery, Crime, Thriller","102,123,366.00"
A Working Man,2025,67,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",David Ayer,"David Ayer, Sylvester Stallone","Action, Crime, Thriller","99,068,160.00"
The Old Guard,2020,71,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,Gina Prince-Bythewood,Greg Rucka,"Action, Fantasy",
Moana 2,2024,71,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Dana Ledoux Miller, Jason Hand, David G. Derrick Jr.","Dana Ledoux Miller, Jared Bush","Animation, Adventure, Family, Comedy","1,059,242,164.00"
Misericordia,2024,63,"Jérémie returns to his hometown for the funeral of his former boss, the village baker. He decides to stay for a few days with Martine, the man's widow. A mysterious disappearance, a threatening neighbor and a priest with strange intentions make Jérémie's short stay in the village take an unexpected turn.",Alain Guiraudie,,"Comedy, Drama, Thriller","1,703,284.00"
My Fault,2023,78,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",Domingo González,Domingo González,"Romance, Drama",
Squid Game in Conversation,2025,88,"Take a seat with the director and cast of Squid Game. Discover key moments, hear untold stories and see what this entire journey meant to them.",,,Documentary,
K.O.,2025,66,"A former fighter must find the missing son of an opponent he accidentally killed years ago, taking on a brutally violent crime gang in Marseille.",Antoine Blossier,,"Action, Drama, Adventure",
The Ugly Stepsister,2025,72,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",Emilie Blichfeldt,,"Horror, Comedy, Fantasy, Drama","884,602.00"
Captain America: Brave New World,2025,60,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",Julius Onah,"Julius Onah, Dalan Musson, Rob Edwards, Malcolm Spellman, Peter Glanz","Action, Thriller, Science Fiction","413,640,021.00"
Snow White,2025,43,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",Marc Webb,Erin Cressida Wilson,"Family, Fantasy","205,067,778.00"
Belyas,2025,74,"Audrey Avila, Denise Esteban and Dani Yoshida star as sultry Belyas. A housewife who is tired of her controlling husband takes a different turn when two young prostitutes rent their apartment. As she befriends the two, she begins to admire the sexual freedom they have.",G.B. Sampedro,Marvic Kevin Reyes,Drama,
Stepmom's Desire,2020,73,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.",Lee Dong-Joon,,"Drama, Romance",
Deep Cover,2025,67,"Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals.",Tom Kingsley,,"Action, Comedy, Crime",
How to Train Your Dragon,2010,78,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.","Dean DeBlois, Chris Sanders","Dean DeBlois, Chris Sanders, William Davies","Fantasy, Adventure, Animation, Family","495,141,736.00"
Jurassic World: Fallen Kingdom,2018,65,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",J.A. Bayona,,"Action, Adventure, Science Fiction, Thriller","1,310,469,037.00"
Sonic the Hedgehog 3,2024,77,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",Jeff Fowler,"Josh Miller, Patrick Casey, John Whittington","Action, Science Fiction, Comedy, Family","492,162,604.00"
Jurassic World,2015,67,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Colin Trevorrow,"Colin Trevorrow, Rick Jaffa, Amanda Silver, Derek Connolly","Action, Adventure, Science Fiction, Thriller","1,671,537,444.00"
Warfare,2025,72,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.","Ray Mendoza, Alex Garland",,"War, Action","31,896,828.00"
The Phoenician Scheme,2025,68,"Wealthy businessman Zsa-zsa Korda appoints his only daughter, a nun, as sole heir to his estate. As Korda embarks on a new enterprise, they soon become the target of scheming tycoons, foreign terrorists, and determined assassins.",Wes Anderson,Wes Anderson,"Adventure, Comedy","36,261,100.00"
Kayara,2025,76,"A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people.",Cesar Zelada,,"Animation, Adventure, Family",
Fierce Town,2025,72,"By the middle of the 12th century, the borders of the Mongolian Empire stretched from the Adriatic and Mediterranean Seas in the west to the southern lands of China in the east. The Mongolian army, under Khan Batu’s command, was known for its invisibility, destroying anyone who dared to challenge them. Yet, even within their central territories, some areas refused to bow to the Genghisids. Kozelsk was one of them. The Mongolian armies bypassed the high walls of this small town, considering that ""the skin of the wolf was not worth the risk of encountering its teeth"".However, one of the Khan’s commanders harbored a grudge against the town's citizens. Now, the people of Kozelsk must face a battle against the strongest army in the world, with no hope of victory. This is a story about people facing their death. Some try to escape, others are willing to do anything to survive, but most are prepared to protect their city from the relentless storms of the Mongolian hordes.",Konstantin Buslov,,"Drama, History, Action",
The Roundup: Punishment,2024,70,'Monster Cop' Ma Seok-do investigates an illegal online gambling business led by a former STS Baek and an IT genius CEO Chang. Ma proposes an unexpected alliance to Jang and begins hunting down the criminals.,Heo Myeong-haeng,,"Action, Crime, Drama, Thriller, Comedy","83,703,350.00"
