Title,Year,Score,Description,Director,Screenplay,Type,Revenue
The Fantastic Four: First Steps,2025,0,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",Matt Shakman,"Jeff Kaplan, Ian Springer, Eric Pearson, Josh Friedman","Science Fiction, Adventure",
Hunt the Wicked,2024,72,"The film tells the story of narcotics police officer Huang Mingjin and the ""mysterious figure"" Wei Yunzhou. Through completely different means and methods, in the process of calculating and wrestling with each other, they tear apart the facade of urban tranquility, exposing the underground drug network woven by the hidden hand ""Long Wang"", and ultimately eradicate the darkness with the sword of justice, revealing the dawn of light.",Chris Huo,,Action,
Utopia,2024,56,"A soldier searching for his missing wife breaks into a high-tech facility, believing she's been caught in a human trafficking ring. But beyond its walls, he finds a surreal, futuristic fantasy park where reality and illusion blur. As he navigates this seductive and dangerous world, a shocking truth pulls him deeper into a deadly game where nothing is as it seems.",James Bamford,,"Mystery, Thriller, Action, Science Fiction",
Fear Cabin: The Last Weekend of Summer,2024,80,"Six friends rent a cabin in the middle of the woods on the last weekend of summer and set out to have an amazing time full of partying and drinking. Little do they know that they will be sharing this cabin with an unexpected guest, will they make it out alive?",Brian Krainson,,Horror,
Life After Fighting,2024,71,"Retired martial arts world champion Alex Faulkner has settled into a simple life, when the disappearance of two of his students leads to an unthinkable discovery close to home. Just when all hope of finding the children is lost, he locates the imprisoned girls and unsurfaces an international child trafficking operation, which draws him back into the fight of his life against those behind it.",Bren Foster,,"Action, Drama, Thriller",
Inside Out 2,2024,76,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Kelsey Mann,"Meg LeFauve, Dave Holstein","Animation, Adventure, Comedy, Family","1,698,863,816.00"
Elio,2025,68,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.","Adrian Molina, Domee Shi, Madeline Sharafian","Julia Cho, Mark Hammer, Mike Jones","Family, Comedy, Adventure, Animation, Science Fiction","98,705,914.00"
Open,2025,60,"The perfect summer turns into a blood-soaked nightmare as counselors at an isolated camp are hunted by a killer and the truth behind the murders is darker than anyone imagined. If the killer doesn't get you, the drama definitely will.",David Saban,,"Horror, Comedy",
Mikaela,2025,63,"During the eve of the 6th of January, a record-breaking snowstorm sweeps across Spain. In the midst of its chaos, a group of robbers seizes the opportunity to hijack an armoured van. A few meters away is Leo, a finished policeman who has nothing to lose. With the unexpected aid of a young woman, he will try to stop the band from running away with their loot.",Daniel Calparsoro,,"Action, Thriller",
28 Days Later,2002,72,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",Danny Boyle,,"Horror, Thriller, Science Fiction","85,032,676.00"
The Gorge,2025,77,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",Scott Derrickson,,"Romance, Science Fiction, Thriller",
Your Fault,2024,71,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,Domingo González,"Domingo González, Sofía Cuenca","Romance, Drama",
Despicable Me 4,2024,70,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",Chris Renaud,,"Family, Comedy, Animation, Science Fiction","969,597,394.00"
Mufasa: The Lion King,2024,74,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",Barry Jenkins,Jeff Nathanson,"Adventure, Family, Animation","722,631,756.00"
Deadpool & Wolverine,2024,76,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Shawn Levy,,"Action, Comedy, Science Fiction","1,338,073,645.00"
Skin. Like. Sun.,2009,60,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.","Murielle Scherre, Jennifer Lyon Bell",,Romance,
How to Train Your Dragon 2,2014,77,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider. Hiccup and Toothless find themselves at the center of a battle to protect Berk from a power-hungry warrior.",Dean DeBlois,,"Fantasy, Action, Adventure, Animation, Comedy, Family","621,537,519.00"
How to Train Your Dragon: The Hidden World,2019,78,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",Dean DeBlois,Dean DeBlois,"Animation, Family, Adventure","539,987,993.00"
Playboy Playmate Workout,1983,100,"Lynda Wiesmeier, Playmate of the Month July 1982, along with other Playmates",Michael Trikilis,,,
Night,2024,100,Night has to trick the mother of the missing child into sleeping to save her soul.,Ahmad Saleh,,Animation,
Until Dawn,2025,66,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",David F. Sandberg,,"Horror, Mystery","52,794,193.00"
given the Movie: To the Sea,2024,83,"Mafuyu doubts his place in the band, but a familiar face could be the spark that brings him back to the stage.",Noriko Hashimoto,Yuniko Ayana,"Animation, Romance",
Squid Game: Fireplace,2024,70,"Come share a toast in the Front Man's lair — but tread carefully, for you’re playing with fire.",,,Family,
The Owner,2023,60,An ordinary man’s life takes an unlikely turn when he saves the life of a high-ranking security officer in an accident.,Yury Bykov,,Drama,
In the Lost Lands,2025,65,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",Paul W. S. Anderson,Constantin Werner,"Action, Fantasy, Adventure","4,755,330.00"
Victoria,2021,85,"Victoria is a woman betrayed, now on a mission for revenge and destroying anything that gets in her way.",Juan C. Bofill,,Action,
The Substance,2024,71,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Coralie Fargeat,,"Drama, Horror, Science Fiction","76,506,196.00"
Kung Fu Panda 4,2024,71,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",Mike Mitchell,,"Animation, Family, Action, Comedy, Adventure, Fantasy","548,040,835.00"
Fast X,2023,70,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",Louis Leterrier,"Justin Lin, Dan Mazeau","Action, Crime, Thriller, Adventure, Mystery","704,709,660.00"
Shadow Force,2025,61,"Kyrah and Isaac were once the leaders of a multinational special forces group called Shadow Force. They broke the rules by falling in love, and in order to protect their son, they go underground. With a large bounty on their heads, and the vengeful Shadow Force hot on their trail, one family's fight becomes all-out war.",Joe Carnahan,,"Action, Drama, Thriller",5.00
Fernanda,2022,53,"An angry Latinx dyke in her twenties wants to make the world a better place, but can barely keep her own life together. Fernanda and her friends deconstruct their lives, fuck them up, and then continue to deconstruct them.",Mary Angélica Molina,Mary Angélica Molina,Comedy,
Snow White,2025,70,"When the Queen’s jealousy turns deadly, Snow White must join forces with gnomes to fight back against her stepmother’s wrath.","Erica Duke, Michael Johnson",,"Animation, Family, Fantasy",
Ligaw,2025,100,"A sultry woman who charms the hearts of men in a remote province. Dolores, a devoted wife to her paraplegic husband, falls for a young mountaineer. What begins as a reckless escape turns into an affair drenched in passion and secrecy.",Omar Daroca,,"Drama, Romance",
Ne Zha 2,2025,81,"Following the Tribulation, although the souls of Ne Zha and Ao Bing were preserved, their physical bodies will soon be destroyed. Tai Yi Zhen Ren plans to use the Seven Colored Lotus to reshape their physical forms, but encounters numerous difficulties. What will become of Ne Zha and Ao Bing?",Yang Yu,,"Animation, Fantasy, Adventure, Action","2,213,230,000.00"
365 Days: This Day,2022,59,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.","Tomasz Mandes, Barbara Białowąs",,"Romance, Drama",
Interstellar,2014,85,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Christopher Nolan,,"Adventure, Drama, Science Fiction","746,606,706.00"
Harry Potter and the Philosopher's Stone,2001,79,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",Chris Columbus,Steve Kloves,"Adventure, Fantasy","976,475,550.00"
The Wild Robot,2024,83,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Chris Sanders,Chris Sanders,"Animation, Science Fiction, Family","331,982,078.00"
Let's Go To Rose Motel,2013,60,"Seong-soo hasn't had any physical contact with his girlfriend yet after 6 months of being together so he's always excited to see her. One day, Seong-soo succeeds in getting Min-ae into Rose Motel. When he is about to shower, Seong-soo discovers a small hole in the wall leading to the next room and watches the couple next door having intercourse. Seong-soo continues to watch out of curiosity but realizes he just watched celebrity Sara giving sexual favors to a big shot politician...",Sin Jeong-gyoon,,"Drama, Romance",
Eden,2024,74,"Driven by a deep desire for change, a group of people left society to forge a new future in the harsh landscape of the Galapagos.",Ron Howard,Noah Pink,"Thriller, Drama","825,041.00"
Venom: The Last Dance,2024,67,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",Kelly Marcel,Kelly Marcel,"Action, Science Fiction, Adventure","478,103,649.00"
My Fault: London,2025,75,"18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.","Charlotte Fassler, Dani Girdwood",Melissa Osborne,"Romance, Drama",
Sorority,2025,65,"A tale of seduction and mystery. A fearless pre-law student joins an elite sorority led by a powerful heiress. As secrets unfold, she’s torn between the woman who awakened her desire and a truth that could destroy them both.",Sigrid Polon,,"Drama, Romance",
John Wick: Chapter 4,2023,77,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,,"Action, Thriller, Crime","440,157,245.00"
The Avengers,2012,78,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Joss Whedon,Joss Whedon,"Science Fiction, Action, Adventure","1,518,815,515.00"
Flow,2024,82,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",Gints Zilbalodis,"Gints Zilbalodis, Matīss Kaža","Animation, Adventure, Fantasy, Family","17,660,107.00"
Lilo & Stitch,2002,76,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and ʻohana, the Hawaiian tradition of family.","Dean DeBlois, Chris Sanders",,"Animation, Family, Comedy","273,144,151.00"
Oppenheimer,2023,81,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,Christopher Nolan,,"Drama, History","952,000,000.00"
The Public Woman,1984,62,"An inexperienced young actress is invited to play a role in a film based on Dostoyevsky's 'The Possessed'. The film director, a Czech immigrant in Paris, takes over her life, and in a short time she is unable to draw the line between acting and reality. She winds up playing a real-life role posing as the dead wife of another Czech immigrant, who is manipulated by the filmmaker into commiting a political assassination.",Andrzej Żuławski,,Drama,
Possessions,2024,53,"Follows a father who seeks a fresh start with his son after the loss of his wife, and purchased a storage unit facility sight unseen, but secrets buried behind the metal doors become a parent's worst nightmare.",Brent Cote,,Horror,
Female Teacher: In Front of the Students,1982,64,"The lovely Reiko has taken a new teaching job at a creepy old high school.  She is an extremely attractive woman and the young students in her class have fallen for her.  One night, after tennis practice, she is brutally assaulted in the locker room shower by a man with a stocking over his face.  Left on the floor naked and in shock, she discovers a single puzzle piece left behind by the crazed man.  A few days later, a pair of students enact a perverted sexual revenge on Reiko for kicking someone off the tennis team.  Could one of these students be the man who brutalized her in the locker room?  Who owns the strange puzzle piece?  As the mystery unfolds, Reiko must come to terms with her own sexual urges and fate.",Yasuaki Uegaki,Masayasu Ōebara,"Drama, Mystery, Horror",
新婚シリーズ　最初が肝心,1962,100,1962 Japanese movie,Shigeaki Hidaka,Motonari Wakai,,
Pleasure,2021,63,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",Ninja Thyberg,Ninja Thyberg,Drama,"393,824.00"
Don Jon,2013,60,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",Joseph Gordon-Levitt,,"Romance, Comedy, Drama",
Couple Exchange,2023,95,"Nan-hee, who wants to enjoy her newlywed life, feels something wrong with her husband, Moo-yeong's body. No matter how much she tries to seduce him every night, Moo-yeong is unable to use his strength. One day, Nan-hee's high school classmate Yoo-na moves in next door. Nan-hee begins to heal Moo-yeong through Yoo-na's shocking suggestion.",Jang Kwon,,Romance,
Titanic,1997,79,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",James Cameron,,"Drama, Romance","2,264,162,353.00"
The Monkey,2025,60,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",Osgood Perkins,Osgood Perkins,"Horror, Comedy","68,869,853.00"
The Legend of Ochi,2025,64,"In a remote village on the island of Carpathia, a shy farm girl named Yuri is raised to fear an elusive animal species known as ochi. But when Yuri discovers a wounded baby ochi has been left behind, she escapes on a quest to bring him home.",Isaiah Saxon,,"Family, Fantasy, Adventure","4,588,865.00"
Bambi: A Life in the Woods,2024,59,"The life of Bambi, a male roe deer, from his birth through childhood, the loss of his mother, the finding of a mate, the lessons he learns from his father, and the experience he gains about the dangers posed by human hunters in the forest.",Michel Fessler,,"Adventure, Family, Documentary","1,419,154.00"
Daniela Forever,2025,78,A man struggling to come to terms with the sudden death of his girlfriend in an accident six months prior signs up for a sleep trial that allows him to reconstruct his life with her through the use of lucid dreams.,Nacho Vigalondo,,"Science Fiction, Romance",
Van Gogh by Vincent,2025,62,"In a career that lasted only ten years, Vincent Van Gogh painted one subject more than any other: himself. This is the story of Vincent told using eight of his most iconic self-portraits.",Richard Shaw,,Documentary,
Kraven the Hunter,2024,65,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",J.C. Chandor,"Richard Wenk, Art Marcum, Matt Holloway","Action, Adventure, Thriller","59,184,643.00"
The Proposal,2009,72,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",Anne Fletcher,,"Comedy, Romance, Drama","317,400,000.00"
Jurassic Park,1993,80,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",Steven Spielberg,"Michael Crichton, David Koepp","Adventure, Science Fiction","920,100,000.00"
Death of a Unicorn,2025,64,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",Alex Scharfman,,"Horror, Fantasy, Comedy","16,412,392.00"
The Lord of the Rings: The Fellowship of the Ring,2001,84,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",Peter Jackson,"Peter Jackson, Philippa Boyens, Fran Walsh","Adventure, Fantasy, Action","871,368,364.00"
The Godfather,1972,87,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Drama, Crime","245,066,411.00"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,71,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",Andrew Adamson,"Andrew Adamson, Ann Peacock, Stephen McFeely, Christopher Markus","Adventure, Family, Fantasy","745,013,115.00"
